break silence	wsj_1279_1:12_17
agree with	wsj_1712_10:2_3
agree with	wsj_0284_17:14_15
agree with	wsj_0771_7:8_9
agree with	wsj_0553_14:4_5
agree with	wsj_2128_7:4_5
slow in	wsj_1624_77:5_6
slow in	wsj_0795_16:25_26
slow in	wsj_1391_5:10_11
slow in	wsj_0795_9:6_7
slow in	wsj_0422_1:15_16
cling to	wsj_1284_43:13_14
cling to	wsj_1302_94:3_4
thrash out	wsj_0242_24:27_28
beat to	wsj_1064_10:6_7
speak of	wsj_1875_80:3_4
live it up	wsj_1473_15:7_8_9
run at	wsj_1743_39:7_8
run at	wsj_2338_3:20_21
run at	wsj_0036_7:11_12
run at	wsj_0598_31:9_10
run at	wsj_1151_12:8_9
run at	wsj_2306_4:10_11
run at	wsj_2306_26:17_18
run at	wsj_0456_15:10_11
run at	wsj_0628_13:13_14
run at	wsj_1803_29:14_15
smash down	wsj_2124_31:17_18
go all out	wsj_1504_43:5_6_7
run low	wsj_0257_15:21_22
run low	wsj_1824_5:12_13
get used	wsj_0591_12:25_26
snap in	wsj_0569_44:15_16
call away	wsj_1962_48:24_25
pose as	wsj_1189_23:27_28
pose as	wsj_1570_54:30_31
pose as	wsj_1397_6:8_9
pose as	wsj_0990_35:25_26
pose as	wsj_2418_48:18_19
come to terms with	wsj_0043_14:18_19_20_21
come to terms with	wsj_2402_28:17_18_19_20
come to terms with	wsj_0592_4:5_6_7_8
come to terms with	wsj_1850_9:16_17_18_19
toss out	wsj_0744_3:16_17
draw down	wsj_2162_20:19_20
keep away from	wsj_1928_17:10_14_15
show up as	wsj_1131_5:12_13_14
step forward	wsj_0036_12:5_6
step forward	wsj_0114_27:28_29
talk out of	wsj_0278_16:30_32_33
talk out of	wsj_2306_56:23_25_26
stick at	wsj_0730_46:9_10
walk away from	wsj_1574_80:6_7_8
walk away from	wsj_1421_28:21_22_23
walk away from	wsj_1107_3:8_9_11
walk away from	wsj_0309_14:14_15_16
pour in	wsj_0003_25:15_16
pour in	wsj_0445_16:17_18
pour in	wsj_2052_17:8_9
knit together	wsj_0043_3:18_19
have in mind	wsj_0984_70:30_34_35
have in mind	wsj_0609_31:8_9_10
have in mind	wsj_0609_29:43_44_45
have in mind	wsj_2159_8:7_11_12
have in mind	wsj_0996_8:5_8_9
have in mind	wsj_0309_8:21_22_23
have in mind	wsj_0655_27:7_8_9
have in mind	wsj_1847_6:14_18_19
pen up	wsj_1922_20:24_26
pen up	wsj_2106_4:31_33
pen up	wsj_1809_43:7_9
pen up	wsj_2397_36:5_7
lose sight of	wsj_0994_98:4_5_6
sign into law	wsj_1413_11:19_20_21
sign into law	wsj_1499_11:4_5_6
sign into law	wsj_0112_14:23_26_27
sign into law	wsj_0112_37:20_24_25
sign into law	wsj_0606_16:9_10_11
make one's way	wsj_0765_87:25_26_27
make one's way	wsj_0609_27:21_22_23
make one's way	wsj_1778_2:4_5_6
gear to	wsj_2230_46:9_10
gear to	wsj_1094_17:4_5
gear to	wsj_1024_1:20_21
gear to	wsj_2250_18:25_26
confide in	wsj_1307_16:9_10
shake hands	wsj_1631_0:4_5
turn upside down	wsj_1163_14:11_14_15
turn upside down	wsj_1146_166:5_7_8
turn upside down	wsj_1615_10:27_28_29
lead up to	wsj_1590_13:1_2_3
lead up to	wsj_2229_23:12_13_14
lead up to	wsj_1184_12:10_11_12
work through	wsj_0794_10:17_18
work through	wsj_1844_15:21_22
get around to	wsj_1162_9:20_21_22
get around to	wsj_1158_22:10_11_12
hack away	wsj_0305_29:12_13
make way	wsj_2112_21:24_25
go forth	wsj_1927_26:3_4
report to	wsj_1691_25:8_9
report to	wsj_0019_1:5_6
report to	wsj_1770_2:5_6
report to	wsj_2454_28:26_27
report to	wsj_1317_14:29_31
report to	wsj_1844_14:3_4
report to	wsj_1829_14:30_31
report to	wsj_0111_21:13_14
report to	wsj_1587_1:6_7
report to	wsj_0931_10:4_5
report to	wsj_0088_31:14_15
report to	wsj_0604_24:11_12
go astray	wsj_0301_26:25_26
while away	wsj_2215_1:19_23
give way	wsj_1566_34:38_40
give way	wsj_0037_18:23_24
give way	wsj_0090_7:10_11
come to grips with	wsj_1790_6:22_23_24_25
come to grips with	wsj_1970_8:26_27_28_29
give rise to	wsj_1158_4:9_10_11
pass as	wsj_1095_6:18_19
pick at	wsj_1667_5:4_5
break even	wsj_0335_34:28_29
break even	wsj_1103_4:26_27
break even	wsj_0618_2:32_33
break even	wsj_1131_3:15_16
break even	wsj_2111_25:16_17
break even	wsj_0445_115:8_9
attend to	wsj_2418_11:16_17
attend to	wsj_1695_10:44_45
fuss over	wsj_0598_5:2_4
hunch over	wsj_0445_3:20_21
make out of	wsj_0767_26:4_6_7
make out of	wsj_0261_15:15_16_17
make out of	wsj_1649_20:11_14_15
make out of	wsj_1766_26:2_5_6
make out of	wsj_1572_21:25_27_28
make out of	wsj_2033_39:4_10_11
make out of	wsj_0976_30:6_11_12
make out of	wsj_1586_57:5_8_9
pick away at	wsj_1424_14:30_31_32
fend for oneself	wsj_0105_19:30_31_32
lend itself to	wsj_0687_21:7_8_9
sort oneself out	wsj_1302_9:4_5_6
press ahead	wsj_0242_27:26_27
pull ahead	wsj_1875_86:15_18
lie around	wsj_0564_16:15_16
cobble together	wsj_2160_21:4_5
fall below	wsj_1512_6:5_6
fall below	wsj_2344_9:8_9
fall below	wsj_0964_19:14_15
fall below	wsj_1320_14:17_18
fall below	wsj_0524_41:13_14
fall below	wsj_1026_3:7_8
fall below	wsj_1815_35:11_12
fall below	wsj_1608_0:34_35
fall below	wsj_1554_55:26_27
fall below	wsj_1203_9:4_5
fall below	wsj_0769_2:10_11
fall below	wsj_1500_28:7_9
fall below	wsj_1962_20:4_5
fall below	wsj_1320_29:7_8
fall below	wsj_2393_3:13_14
lie low	wsj_1682_0:2_3
lie low	wsj_0814_7:22_23
harp on	wsj_0093_2:23_24
file with	wsj_0138_0:6_7
file with	wsj_0351_28:9_10
file with	wsj_1948_4:13_14
file with	wsj_1160_29:6_7
file with	wsj_0599_0:6_7
file with	wsj_0763_4:3_4
file with	wsj_0770_0:6_7
file with	wsj_2035_0:6_7
file with	wsj_1122_18:5_6
file with	wsj_1933_0:6_7
file with	wsj_1331_33:4_5
file with	wsj_0086_0:10_11
file with	wsj_1444_0:6_7
file with	wsj_2349_0:6_7
file with	wsj_2171_0:6_7
file with	wsj_0473_9:19_20
file with	wsj_0284_16:17_18
file with	wsj_2131_6:3_7
file with	wsj_1503_0:6_10
file with	wsj_2340_6:7_8
file with	wsj_0473_0:5_8
file with	wsj_1245_0:4_5
file with	wsj_1213_57:18_22
perch on	wsj_1986_2:17_18
fly in the face of	wsj_0525_13:17_18_19_20_21
work together	wsj_2151_22:6_7
shower with	wsj_1778_22:11_13
patch together	wsj_2229_6:8_9
get back to	wsj_2034_14:22_23_24
get back to	wsj_1323_4:5_6_7
get back to	wsj_0742_19:15_16_17
get back to	wsj_0360_20:24_25_26
get back to	wsj_1937_7:7_8_9
get back to	wsj_1691_27:11_12_13
mark as	wsj_0037_12:12_14
come back	wsj_2237_5:17_18
turn around	wsj_0060_0:11_12
run on	wsj_0060_10:18_19
drop in	wsj_0060_11:29_30
fawn over	wsj_0062_0:25_26
find out	wsj_0062_2:18_19
point out	wsj_0062_6:13_14
turn off	wsj_0062_17:11_12
rely on	wsj_0062_20:48_49
sell out	wsj_0062_27:6_7
scare away	wsj_0062_28:7_8
take out	wsj_0062_29:34_35
pick up	wsj_0062_46:27_29
drop off	wsj_0062_46:31_33
account for	wsj_0064_7:31_32
account for	wsj_0064_12:20_21
phase in	wsj_0064_18:30_32
set for	wsj_0064_23:9_10
account for	wsj_0669_3:19_20
set up	wsj_0668_4:22_23
go into	wsj_0668_6:8_9
account for	wsj_0666_7:28_29
head for	wsj_0666_11:24_25
go into	wsj_0666_27:13_14
fall behind	wsj_0664_2:16_17
work on	wsj_0664_6:5_6
turn to	wsj_0664_7:9_10
force out	wsj_0664_9:5_6
look for	wsj_0664_10:21_22
come to	wsj_0664_11:4_5
work on	wsj_0664_16:19_20
hand down	wsj_0664_22:17_18
go to	wsj_0664_23:13_14
call for	wsj_0664_32:21_22
build up	wsj_0664_39:17_18
work on	wsj_0664_43:6_7
look into	wsj_0664_46:11_12
wait for	wsj_0664_47:8_9
look ahead	wsj_0664_49:1_2
pop up	wsj_0664_53:7_8
lock in	wsj_0664_69:28_29
watch for	wsj_0664_76:4_5
come in	wsj_0663_2:17_18
keep up	wsj_1107_4:9_10
walk away	wsj_1107_7:33_34
dump on	wsj_1107_11:9_10
sit around	wsj_1107_15:6_7
walk away	wsj_1107_15:57_58
start in	wsj_0804_3:6_7
stand in	wsj_0804_9:7_8
come from	wsj_0804_15:5_6
set out	wsj_0804_28:13_14
make up for	wsj_0804_40:6_7_8
sign in	wsj_0803_0:6_7
sign in	wsj_0803_0:18_19
call for	wsj_0803_1:11_12
call for	wsj_0803_5:10_11
call for	wsj_0803_7:7_8
sign in	wsj_0803_9:10_11
settle for	wsj_0803_10:9_10
buy up	wsj_0800_0:7_8
deal with	wsj_0800_8:22_23
take over	wsj_0800_15:30_31
sit back	wsj_0800_19:12_13
fill with	wsj_0800_19:18_19
go up	wsj_0800_20:13_14
rack up	wsj_0800_26:7_8
come across	wsj_0800_34:7_8
do in	wsj_0800_36:7_8
start out	wsj_0800_43:14_15
set up	wsj_0800_44:5_6
do in	wsj_0800_54:4_5
fly out	wsj_0800_57:22_23
break off	wsj_1101_0:25_26
back up	wsj_1101_14:7_8
come at	wsj_1101_16:4_5
bring about	wsj_1101_16:13_14
carry out	wsj_1101_25:21_22
fade in	wsj_1102_1:9_10
put back	wsj_1102_2:11_14
drive down	wsj_1102_4:16_19
bounce back	wsj_1102_5:9_10
close down	wsj_1102_6:13_14
point out	wsj_1102_15:3_4
file in	wsj_0481_1:9_10
meet with	wsj_1628_3:28_29
come to	wsj_1628_20:15_16
roll over	wsj_1628_29:5_6
work up	wsj_0485_1:20_21
turn to	wsj_0485_3:4_5
make for	wsj_0485_12:13_14
crack down on	wsj_0485_13:22_23_24
come up with	wsj_0485_14:23_24_25
go on	wsj_1624_0:8_9
scale back	wsj_1624_6:27_28
go through	wsj_1624_11:4_5
put up	wsj_1624_57:15_16
come from	wsj_1624_58:8_9
meet with	wsj_1624_59:9_10
pull off	wsj_1624_63:7_8
rely on	wsj_1624_64:4_5
crank out	wsj_1624_77:23_24
bounce back	wsj_0488_11:3_4
make over	wsj_0488_12:5_6
depend on	wsj_0488_14:13_14
call for	wsj_0488_15:21_22
trade in	wsj_0488_21:8_9
look at	wsj_0984_8:13_14
cut up	wsj_0984_23:32_33
rely on	wsj_0984_25:5_7
believe in	wsj_0984_26:11_12
give in	wsj_0984_26:16_17
water down	wsj_0984_26:30_32
give in	wsj_0984_27:17_18
look at	wsj_0984_32:2_3
make into	wsj_0984_37:3_4
do in	wsj_0984_41:5_6
show off	wsj_0984_42:16_17
throw up	wsj_0984_49:14_15
throw up	wsj_0984_51:38_39
blot out	wsj_0984_52:12_13
open up	wsj_0984_57:14_16
weigh in	wsj_0984_59:10_11
go with	wsj_0984_68:9_10
pay for	wsj_1622_26:11_12
slow down	wsj_1623_2:12_13
speed up	wsj_1623_2:15_16
call for	wsj_1623_6:4_5
get out of	wsj_1623_30:9_10_11
go down	wsj_1623_33:10_11
go against	wsj_1623_35:6_7
go into	wsj_1623_36:37_38
come down to	wsj_1623_49:2_3_4
ride out	wsj_1623_50:5_6
lighten up	wsj_1623_56:6_7
jump in	wsj_1623_57:7_8
account for	wsj_1623_59:14_15
stay in	wsj_1623_68:10_11
drive down	wsj_0240_0:13_14
look to	wsj_0240_4:25_26
set for	wsj_0243_4:7_8
aim at	wsj_0242_1:12_13
call for	wsj_0242_2:4_5
thin out	wsj_0242_4:43_44
bring down	wsj_0242_7:26_30
keep out of	wsj_0242_14:14_15_16
aim at	wsj_0242_15:13_14
back away	wsj_0242_25:21_22
bring down	wsj_0242_27:17_18
look to	wsj_0245_5:6_7
rule out	wsj_0247_11:22_23
pick up	wsj_0719_12:8_9
clear up	wsj_0719_20:18_19
trade in	wsj_0719_27:10_11
account for	wsj_0719_30:18_19
come to	wsj_0719_36:19_20
make after	wsj_0719_47:10_11
turn in	wsj_1698_0:34_36
come to	wsj_1698_3:2_3
end up	wsj_1698_3:10_11
turn in	wsj_1698_5:3_5
get in	wsj_1698_6:10_11
slip in	wsj_1698_6:50_52
strip away	wsj_1698_17:25_27
send up	wsj_1698_18:6_7
send back	wsj_1698_20:6_9
sign up	wsj_1698_25:27_28
build in	wsj_0939_4:11_12
come from	wsj_0939_6:16_17
rely on	wsj_0452_1:23_24
keep from	wsj_0452_8:23_27
take over	wsj_0452_11:7_8
come up with	wsj_0452_20:8_9_10
name after	wsj_0933_12:7_9
change over	wsj_0933_14:5_6
aim at	wsj_0931_3:5_6
head off	wsj_0931_3:7_8
meet with	wsj_0931_4:3_4
participate in	wsj_0931_7:16_17
go on	wsj_0931_7:24_25
step up	wsj_0931_21:7_8
participate in	wsj_0931_21:18_19
participate in	wsj_0931_23:8_9
gun down	wsj_0931_26:3_4
hash out	wsj_0931_30:9_10
take over	wsj_0937_7:42_43
turn back	wsj_0937_10:31_34
come down	wsj_0937_11:20_21
put down	wsj_0937_12:29_30
cough up	wsj_0937_15:5_6
put up	wsj_0937_15:17_18
go into	wsj_0937_16:18_19
aim at	wsj_0937_17:42_43
suffer from	wsj_0937_23:16_17
come to	wsj_0937_23:25_26
put on	wsj_0937_25:36_37
brazen out	wsj_0937_30:29_31
slip down	wsj_0937_46:11_12
put back	wsj_0936_11:30_34
put back	wsj_0936_13:7_10
go to	wsj_0936_18:18_19
join in	wsj_0936_24:10_14
bring down	wsj_0936_31:13_17
think about	wsj_0936_44:4_5
go with	wsj_0935_10:6_7
live in	wsj_0934_5:17_18
open up	wsj_0934_7:7_8
write in	wsj_0934_15:19_20
iron out	wsj_0934_16:12_13
part with	wsj_0934_22:9_10
mop up	wsj_0934_24:32_33
turn on	wsj_1927_0:26_27
roll over	wsj_1927_3:22_23
come through	wsj_1927_9:10_11
lay out	wsj_1927_11:10_11
take over	wsj_1927_12:41_42
aim at	wsj_1927_15:14_15
come from	wsj_1927_17:3_4
go back	wsj_1927_29:20_21
go beyond	wsj_1927_30:28_30
lie in	wsj_1927_32:3_4
live in	wsj_1927_39:8_9
hold in	wsj_1696_0:27_28
pick up	wsj_1696_6:26_27
cut off	wsj_1696_21:32_33
dust off	wsj_1691_2:11_12
see through	wsj_1691_3:13_15
focus on	wsj_1691_5:11_12
set up	wsj_1691_6:10_11
care for	wsj_1691_8:25_26
bring up	wsj_1691_10:17_18
break through	wsj_1691_16:24_25
take over	wsj_1691_17:9_10
set up	wsj_1691_18:6_7
depend on	wsj_1691_20:4_5
bring back	wsj_1691_20:21_22
set up	wsj_1691_24:11_12
call in	wsj_1691_26:5_6
turn out	wsj_1691_31:3_4
get to	wsj_1691_32:17_18
feel like	wsj_1922_6:10_11
build on	wsj_1922_10:8_9
tumble to	wsj_1922_15:45_46
come down to	wsj_1922_16:12_13_14
pass by	wsj_1822_2:10_11
cope with	wsj_1822_3:12_13
make up	wsj_1822_12:11_12
pass by	wsj_1822_14:4_5
buy out	wsj_1822_15:15_17
cope with	wsj_1822_16:16_17
come down	wsj_1822_17:7_8
buy out	wsj_1822_23:5_7
give back	wsj_1822_24:10_17
go through	wsj_1822_24:23_24
fall under	wsj_1822_26:12_13
shy away from	wsj_1820_12:4_5_6
fall through	wsj_1820_14:4_5
go back	wsj_1820_17:3_4
live in	wsj_1826_15:8_9
consist of	wsj_1535_2:4_5
end up	wsj_1286_9:5_6
end up	wsj_1286_21:12_13
dump on	wsj_1286_23:6_7
hear of	wsj_1286_38:14_15
wash away	wsj_1286_49:22_23
sum up	wsj_1286_50:3_4
move up	wsj_1286_65:4_5
send out	wsj_1287_11:4_5
knock on	wsj_1287_11:9_10
bear on	wsj_1287_13:8_9
deal with	wsj_1287_13:25_26
hold in	wsj_1284_2:4_5
focus on	wsj_1284_4:6_7
go beyond	wsj_1284_24:11_13
work on	wsj_1284_24:20_21
break up	wsj_1284_28:14_15
turn up	wsj_1829_1:36_37
take off	wsj_1829_3:35_38
shake up	wsj_1829_5:12_14
mop up	wsj_1829_7:11_12
put out	wsj_1829_9:25_26
call back	wsj_1829_10:24_25
set up	wsj_1829_30:4_5
account for	wsj_1829_38:9_10
cut off	wsj_1282_0:19_20
depend on	wsj_1755_1:2_3
go into	wsj_1755_2:13_14
make up	wsj_1755_4:9_10
start in	wsj_1753_1:39_40
line up	wsj_1753_5:6_7
even out	wsj_1758_2:4_5
take over	wsj_1759_0:19_20
strip away	wsj_1759_3:25_26
work out	wsj_1759_12:12_13
edge up	wsj_2090_4:2_3
call for	wsj_2278_4:12_13
take to	wsj_2276_3:17_18
kick off	wsj_2276_7:22_23
turn around	wsj_2276_8:15_16
look at	wsj_2276_24:3_4
kick off	wsj_2276_27:6_7
bounce back	wsj_2276_28:14_15
come into	wsj_2276_30:8_9
get off	wsj_2276_34:22_23
sit out	wsj_2276_37:14_17
stay out	wsj_2276_39:5_6
open up	wsj_2276_40:11_12
turn up	wsj_2276_47:8_9
pile up	wsj_2276_50:4_5
shout out	wsj_2276_61:2_3
load up	wsj_2276_67:6_7
step in	wsj_2276_70:14_15
turn up	wsj_2276_71:7_8
turn on	wsj_2276_77:14_18
get out of	wsj_2276_82:13_14_15
come at	wsj_2276_84:11_12
come out of	wsj_2276_94:29_30_31
break out	wsj_2274_2:20_21
account for	wsj_2274_2:28_29
focus on	wsj_2274_5:16_17
jet off	wsj_0010_0:16_17
settle on	wsj_0010_2:6_7
hold in	wsj_0010_10:5_6
haul out	wsj_0010_11:11_12
point out	wsj_0010_13:6_7
squeeze in	wsj_0010_14:6_7
look forward to	wsj_0010_19:7_8_9
shore up	wsj_0012_9:11_12
figure out	wsj_0121_5:35_36
get around	wsj_0121_16:15_16
deal with	wsj_0121_20:8_9
live with	wsj_0121_23:20_21
hold back	wsj_0121_26:4_5
go into	wsj_0121_39:9_10
go down	wsj_0121_47:5_6
aim at	wsj_0123_4:17_18
make up	wsj_0657_6:2_3
dig out	wsj_0126_3:4_5
think about	wsj_0126_6:14_15
look at	wsj_0126_9:3_4
take out	wsj_0126_9:28_29
turn down	wsj_0126_13:6_8
give up	wsj_0126_22:5_6
shore up	wsj_0128_10:25_26
stretch out	wsj_0128_13:34_35
get back	wsj_0128_14:29_32
go around	wsj_0128_16:23_24
buy out	wsj_0128_17:8_10
work at	wsj_0129_7:3_4
account for	wsj_0658_4:19_20
account for	wsj_0659_5:8_9
make up	wsj_0659_5:22_23
suffer from	wsj_1639_4:31_32
sum up	wsj_1636_0:7_8
slow down	wsj_1636_19:14_15
believe in	wsj_1636_30:27_28
come from	wsj_1635_4:6_7
tie up	wsj_1635_10:13_15
set on	wsj_1635_25:5_6
jump in	wsj_1635_29:7_8
come with	wsj_1635_34:3_4
open up	wsj_1635_35:7_8
depend on	wsj_1635_41:20_21
get back	wsj_1635_44:13_15
point out	wsj_1635_48:2_3
come to	wsj_1635_60:16_17
focus on	wsj_1635_62:6_7
run into	wsj_1635_70:21_22
stick with	wsj_1635_83:8_9
write off	wsj_1632_6:20_21
go along	wsj_1632_6:36_37
dream up	wsj_1631_21:19_20
go into	wsj_1631_30:16_17
root out	wsj_1631_46:12_13
look for	wsj_1631_47:12_13
swallow up	wsj_1631_48:21_22
cut out	wsj_1630_10:13_14
participate in	wsj_0726_2:8_9
participate in	wsj_0726_6:25_26
put in	wsj_0725_4:5_6
edge up	wsj_0725_10:7_8
settle into	wsj_0725_12:8_9
calm down	wsj_0725_13:4_5
believe in	wsj_0725_17:32_33
depend on	wsj_0725_19:7_8
put back	wsj_0725_20:8_12
give up	wsj_0725_31:12_13
walk out	wsj_0725_49:5_6
make for	wsj_0725_49:28_29
look for	wsj_0725_59:26_27
go to	wsj_0725_60:3_4
pony up	wsj_0725_62:10_11
start up	wsj_0725_62:22_24
loosen up	wsj_0725_79:25_26
pick up	wsj_0725_92:9_10
arrive at	wsj_0725_96:5_7
set up	wsj_0725_96:21_22
come back	wsj_0725_101:5_6
do in	wsj_0725_105:32_33
go to	wsj_0725_113:3_4
make for	wsj_0725_117:24_25
whip out	wsj_0725_118:20_21
account for	wsj_0230_2:7_8
water down	wsj_0723_6:6_8
win over	wsj_0723_7:9_10
set out	wsj_0723_16:39_40
buy back	wsj_0721_0:7_8
move up	wsj_0238_10:6_7
move in	wsj_0238_11:18_19
take up	wsj_0239_1:24_25
come to	wsj_0239_3:15_16
take to	wsj_0239_8:14_15
sign up	wsj_0239_14:11_12
stand around	wsj_0239_27:16_17
fly in	wsj_0239_27:21_22
point out	wsj_0239_30:35_36
come out of	wsj_0239_31:10_11_12
come down	wsj_0239_33:3_4
go up	wsj_0239_36:3_5
fire up	wsj_0239_44:6_7
look at	wsj_0239_47:2_3
get out	wsj_0239_49:27_28
roll up	wsj_0239_50:60_62
take on	wsj_0728_6:25_26
take on	wsj_0728_9:9_10
hold in	wsj_0728_13:32_33
bounce back	wsj_0909_11:4_5
work on	wsj_0909_11:21_22
turn to	wsj_0909_30:9_10
lay off	wsj_0909_30:15_16
get off	wsj_0909_45:9_10
turn out	wsj_0909_48:5_6
find out	wsj_0909_50:39_40
bring back	wsj_0909_60:9_11
fall in	wsj_0909_69:9_10
send out	wsj_0909_69:44_45
account for	wsj_0909_71:2_3
come off	wsj_0909_72:11_12
turn out	wsj_0909_75:10_11
give by	wsj_0909_75:28_29
bring down	wsj_0909_88:7_8
pull off	wsj_0909_96:13_16
come to	wsj_0909_97:7_8
auction off	wsj_0909_100:15_17
come down	wsj_0900_3:5_6
set for	wsj_1291_10:6_7
file in	wsj_1291_11:8_9
work out	wsj_1291_16:16_17
step up	wsj_0349_1:5_6
deal with	wsj_0349_6:12_14
make after	wsj_0349_7:21_22
figure out	wsj_0349_13:16_17
deal with	wsj_0349_15:15_16
pull back	wsj_0349_17:14_15
pull back	wsj_0349_22:15_16
look for	wsj_0349_32:4_5
get off	wsj_0349_38:8_9
keep from	wsj_0349_40:6_10
slow down	wsj_0349_42:10_11
work with	wsj_0349_42:20_21
speed up	wsj_0349_44:9_11
slow down	wsj_0349_44:15_17
go away	wsj_0349_46:5_6
go back	wsj_0349_49:9_10
go back	wsj_0349_50:6_7
go back	wsj_0349_51:5_6
take on	wsj_0349_56:25_26
go for	wsj_1520_1:16_17
look at	wsj_1294_7:13_14
deal with	wsj_1294_11:14_15
make for	wsj_1294_13:7_8
head off	wsj_1299_0:7_8
sign in	wsj_1299_2:14_15
work for	wsj_1299_14:19_20
work for	wsj_1299_15:13_14
consist of	wsj_0341_3:5_6
aim at	wsj_0343_0:5_6
make into	wsj_0343_5:46_47
give up	wsj_0343_16:32_33
ask for	wsj_1839_6:9_10
make up for	wsj_0347_7:22_23_24
break through	wsj_0347_16:4_5
work out	wsj_0447_6:12_13
lay off	wsj_1744_1:7_8
come up to	wsj_1744_5:12_13_14
bring to	wsj_1744_15:23_24
make up	wsj_1744_19:5_6
shut down	wsj_1744_21:7_8
apply for	wsj_1743_36:19_20
carry out	wsj_1743_58:30_31
cut back on	wsj_1743_60:11_12_13
turn out	wsj_1743_69:2_3
set for	wsj_1742_4:8_9
cash in	wsj_1688_4:5_6
point out	wsj_1688_14:10_11
look into	wsj_1688_16:14_15
look into	wsj_1688_17:16_17
check out	wsj_1688_19:23_24
look at	wsj_1688_20:36_37
build into	wsj_1688_27:1_2
apply for	wsj_1688_34:21_22
sell off	wsj_1748_5:12_13
hold in	wsj_1689_8:14_17
get even	wsj_1689_12:19_20
think of	wsj_2084_4:10_12
rule out	wsj_2084_4:31_32
fall to	wsj_2080_0:5_6
fall to	wsj_2080_2:8_9
put off	wsj_2075_2:3_4
round up	wsj_2075_4:19_20
hold up	wsj_2075_5:12_13
call for	wsj_1547_16:11_12
meet with	wsj_1547_20:8_9
go to	wsj_1946_0:12_13
build up	wsj_1946_7:22_23
come to	wsj_1946_13:6_7
put up	wsj_1946_24:19_20
write in	wsj_1946_31:5_6
come from	wsj_0443_1:18_19
end up	wsj_0443_1:29_30
jack up	wsj_0443_10:21_22
take over	wsj_0443_12:16_17
get off	wsj_0443_18:3_4
go up	wsj_0443_20:9_10
work for	wsj_1234_4:22_23
consist of	wsj_2261_2:3_4
build up	wsj_2260_0:23_24
bring together	wsj_2263_0:21_22
give up	wsj_2265_3:32_33
give up	wsj_2265_10:16_17
go into	wsj_2265_17:16_17
give up	wsj_2265_20:40_41
keep from	wsj_2265_25:14_17
firm up	wsj_2265_36:17_18
clean up	wsj_2265_44:13_14
brush aside	wsj_2265_49:5_6
pull back	wsj_2265_67:8_9
rein in	wsj_2265_71:34_35
set for	wsj_2264_10:4_5
come up with	wsj_1549_1:12_13_14
speak to	wsj_1549_6:12_13
break into	wsj_1549_8:14_15
call in	wsj_1549_8:26_27
listen to	wsj_1549_11:17_18
win back	wsj_1549_13:6_7
depend on	wsj_1549_13:31_33
shore up	wsj_1549_35:14_15
go for	wsj_1549_39:10_11
get through	wsj_1549_47:26_27
edge up	wsj_0712_1:37_38
edge up	wsj_0440_7:5_6
run out	wsj_0440_15:30_31
fall to	wsj_0714_3:3_4
go after	wsj_0004_11:20_21
fall to	wsj_0004_16:7_8
show up	wsj_0003_1:25_26
hear of	wsj_0003_5:9_10
hang over	wsj_0003_26:10_11
go to	wsj_0130_7:4_5
tumble down	wsj_0130_12:4_5
turn out	wsj_0130_13:10_11
come in	wsj_0130_14:4_5
go beyond	wsj_0130_18:4_6
do by	wsj_0130_32:9_10
do by	wsj_0130_32:19_20
shut down	wsj_0641_4:9_10
move away	wsj_0641_7:8_17
come to	wsj_0643_3:6_7
come before	wsj_0134_0:7_8
come from	wsj_0134_0:36_37
go by	wsj_0139_1:23_24
account for	wsj_0649_2:24_25
pass on	wsj_0648_10:13_14
give up	wsj_0648_11:9_10
turn to	wsj_0648_14:21_22
write in	wsj_1685_0:5_6
deal with	wsj_1685_6:29_30
build in	wsj_1685_6:37_38
deal with	wsj_1685_6:47_48
work with	wsj_1685_7:6_7
join in	wsj_1190_4:20_21
bring in	wsj_1190_6:8_12
break up	wsj_1190_10:8_9
join up	wsj_1190_18:5_6
lock up	wsj_1190_26:7_8
go beyond	wsj_1194_2:19_20
arrive at	wsj_1602_1:25_26
consist of	wsj_1601_14:11_12
come in	wsj_1601_25:12_13
sit on	wsj_1607_3:11_12
single out	wsj_1604_3:8_9
drop out	wsj_1357_1:36_38
pull off	wsj_0730_8:7_8
walk into	wsj_0730_8:16_17
look like	wsj_0730_9:3_4
make off with	wsj_0730_11:16_17_18
get in	wsj_0730_14:15_16
deal with	wsj_0730_15:6_7
set off	wsj_0730_17:5_6
go into	wsj_0730_27:4_5
point out	wsj_0730_31:3_4
put in	wsj_0730_36:8_9
depend on	wsj_0732_7:1_2
back off	wsj_0735_1:10_11
spell out	wsj_0735_6:6_7
aim at	wsj_0734_4:9_10
stand for	wsj_0228_1:18_19
stand in	wsj_0911_3:50_51
take off	wsj_0911_9:41_42
side with	wsj_0910_4:8_9
catch in	wsj_0910_8:20_21
cope with	wsj_1996_2:7_8
back up	wsj_1996_3:20_21
work with	wsj_1996_3:52_53
take over	wsj_1996_7:53_54
turn down	wsj_1996_10:19_20
look at	wsj_1996_33:10_11
hold on	wsj_1996_39:14_15
wall off	wsj_1996_41:17_18
rely on	wsj_1996_54:4_5
go with	wsj_1996_55:12_13
fight off	wsj_1996_58:9_10
go out	wsj_1996_60:5_6
turn around	wsj_1996_60:8_10
get down	wsj_1996_64:8_9
lay off	wsj_1996_64:24_26
fall to	wsj_1994_3:15_16
make over	wsj_1514_2:10_11
set out	wsj_1515_0:4_5
